model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
1 Series,2017,Semi-Auto,18852,Diesel,150,70.6,2.0,14951
X3,2015,Automatic,15131,Diesel,150,54.3,2.0,18950
X3,2016,Automatic,65392,Diesel,200,47.9,3.0,18675
X1,2019,Semi-Auto,5163,Petrol,145,39.2,2.0,25480
3 Series,2017,Automatic,34544,Diesel,145,56.5,3.0,17200
1 Series,2018,Manual,7000,Diesel,145,50.4,1.5,16000
1 Series,2015,Manual,46295,Diesel,0,83.1,1.5,9000
5 Series,2015,Automatic,55673,Diesel,160,49.6,3.0,15999
3 Series,2017,Automatic,43000,Diesel,145,53.3,3.0,17950
1 Series,2016,Manual,28072,Diesel,30,65.7,2.0,12300
2 Series,2019,Manual,1996,Petrol,145,42.8,1.5,19543
5 Series,2016,Automatic,71353,Diesel,145,56.5,2.0,13999
1 Series,2017,Manual,25163,Petrol,145,36.2,3.0,19498
2 Series,2019,Semi-Auto,2500,Petrol,145,39.2,1.5,24000
1 Series,2016,Automatic,11510,Diesel,20,70.6,2.0,13800
1 Series,2017,Automatic,25076,Diesel,125,60.1,2.0,16700
X1,2017,Semi-Auto,19159,Diesel,145,60.1,2.0,19750
3 Series,2016,Semi-Auto,43482,Diesel,30,64.2,2.0,15030
5 Series,2015,Semi-Auto,64194,Diesel,165,51.4,3.0,16000
3 Series,1999,Automatic,82000,Petrol,245,31.0,2.8,1200
3 Series,2012,Manual,75453,Diesel,30,62.8,2.0,7500
M2,2019,Semi-Auto,1797,Petrol,145,29.1,3.0,42351
1 Series,2019,Semi-Auto,16000,Petrol,145,39.8,3.0,24142
3 Series,2018,Automatic,13700,Diesel,145,62.8,2.0,22495
2 Series,2018,Automatic,29590,Petrol,145,53.3,1.5,14157
2 Series,2017,Semi-Auto,8693,Petrol,145,50.4,2.0,17990
3 Series,2019,Semi-Auto,4112,Diesel,145,49.6,2.0,30950
X4,2016,Automatic,28466,Diesel,200,47.9,3.0,24999
5 Series,2019,Semi-Auto,3623,Diesel,145,65.7,2.0,26350
1 Series,2017,Semi-Auto,48972,Diesel,150,65.7,2.0,14998
X1,2013,Manual,63000,Diesel,160,51.4,2.0,8990
4 Series,2016,Automatic,80380,Diesel,125,58.9,2.0,14795
1 Series,2019,Semi-Auto,9079,Diesel,145,47.9,1.5,18950
1 Series,2016,Semi-Auto,25843,Petrol,30,55.5,1.5,12990
5 Series,2019,Automatic,1980,Petrol,145,48.7,2.0,31980
1 Series,2015,Semi-Auto,46242,Diesel,30,62.8,2.0,12299
3 Series,2018,Semi-Auto,12,Diesel,145,57.7,2.0,27490
5 Series,2016,Automatic,64598,Diesel,30,62.8,2.0,13600
X5,2019,Semi-Auto,100,Diesel,145,37.7,3.0,49403
3 Series,2017,Semi-Auto,10154,Diesel,145,56.5,3.0,19980
1 Series,2020,Semi-Auto,4362,Diesel,145,48.7,2.0,29980
2 Series,2019,Semi-Auto,3422,Diesel,145,65.7,2.0,20450
1 Series,2020,Manual,1550,Diesel,145,53.3,2.0,24880
3 Series,2019,Semi-Auto,4990,Diesel,145,62.8,2.0,24990
2 Series,2015,Semi-Auto,26035,Petrol,165,44.1,2.0,17541
5 Series,2019,Semi-Auto,105,Petrol,145,48.7,2.0,31480
X1,2014,Manual,29387,Diesel,160,51.4,2.0,10422
3 Series,2017,Automatic,33443,Diesel,145,53.3,3.0,20197
2 Series,2019,Manual,1250,Diesel,145,51.4,2.0,20460
4 Series,2017,Semi-Auto,23039,Diesel,145,55.4,3.0,21459
1 Series,2016,Manual,47324,Diesel,30,65.7,2.0,12350
X5,2019,Automatic,123,Diesel,145,37.7,3.0,53150
X6,2017,Semi-Auto,40429,Diesel,200,47.1,3.0,29498
Z4,2019,Automatic,5500,Petrol,145,38.7,2.0,30969
Z4,2020,Semi-Auto,5,Petrol,145,37.2,2.0,35850
1 Series,2017,Manual,24259,Petrol,145,52.3,1.5,14498
X1,2019,Automatic,123,Diesel,145,60.1,2.0,28410
X1,2017,Automatic,60792,Diesel,145,55.4,2.0,16514
3 Series,2017,Semi-Auto,47251,Diesel,30,64.2,2.0,15500
1 Series,2016,Manual,51000,Diesel,20,68.9,2.0,10990
5 Series,2019,Semi-Auto,7079,Diesel,145,65.7,2.0,26850
3 Series,2019,Automatic,4884,Petrol,145,41.5,2.0,28348
5 Series,2014,Automatic,42007,Diesel,20,68.9,2.0,12500
5 Series,2019,Semi-Auto,7902,Diesel,145,65.7,2.0,26650
3 Series,2016,Manual,54788,Diesel,20,68.9,2.0,11299
X6,2015,Semi-Auto,60930,Diesel,200,47.1,3.0,26462
4 Series,2019,Automatic,10324,Diesel,145,65.7,2.0,23250
X3,2018,Automatic,13034,Diesel,145,54.3,2.0,30990
7 Series,2014,Semi-Auto,24528,Petrol,300,32.8,4.4,21498
X3,2019,Semi-Auto,1266,Diesel,145,54.3,2.0,39991
2 Series,2020,Semi-Auto,12,Petrol,150,50.4,1.5,21890
2 Series,2020,Manual,101,Petrol,145,40.4,1.5,31150
5 Series,2013,Automatic,108000,Diesel,125,57.6,2.0,6990
3 Series,2019,Semi-Auto,7851,Petrol,145,42.2,2.0,28980
3 Series,2015,Manual,71339,Diesel,30,67.3,2.0,9773
7 Series,2019,Semi-Auto,12038,Diesel,150,44.1,3.0,47980
1 Series,2018,Semi-Auto,22368,Petrol,145,55.5,1.5,14980
X1,2018,Automatic,45268,Diesel,145,57.6,2.0,18697
4 Series,2019,Semi-Auto,9420,Petrol,145,48.7,2.0,22990
2 Series,2017,Semi-Auto,23295,Diesel,20,68.9,2.0,16191
X2,2019,Automatic,123,Diesel,145,50.4,2.0,29375
3 Series,2019,Semi-Auto,11618,Diesel,150,54.3,2.0,23285
X4,2019,Automatic,9151,Diesel,145,37.2,3.0,42982
1 Series,2017,Manual,12312,Petrol,150,53.3,1.5,13490
4 Series,2018,Automatic,9482,Petrol,145,48.7,2.0,17900
3 Series,2016,Automatic,33332,Petrol,125,54.3,1.5,12999
